Title,Info,Rating,IMG_URL
Great Teacher Onizuka,"TV (43 eps)
        Jun 1999 - Sep 2000
        722,147 members",8.69,https://cdn.myanimelist.net/r/50x70/images/anime/13/11460.jpg?s=7e890b7e93b7b57c2de4aa90211931bd
Jujutsu Kaisen (TV),"TV (24 eps)
        Oct 2020 - Mar 2021
        1,848,763 members",8.69,https://cdn.myanimelist.net/r/50x70/images/anime/1171/109222.jpg?s=f5508bab9e7d610a28f12d1828a6ee79
Made in Abyss,"TV (13 eps)
        Jul 2017 - Sep 2017
        1,129,449 members",8.68,https://cdn.myanimelist.net/r/50x70/images/anime/6/86733.jpg?s=56ac623880ec87f3a0197e0391bc12c3
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,"Movie (1 eps)
        Jan 2020 - Jan 2020
        323,111 members",8.68,https://cdn.myanimelist.net/r/50x70/images/anime/1502/110723.jpg?s=371a6b383817649bb1d3468f03522f66
Mononoke Hime,"Movie (1 eps)
        Jul 1997 - Jul 1997
        1,091,984 members",8.68,https://cdn.myanimelist.net/r/50x70/images/anime/7/75919.jpg?s=0d877ed9aa60cc49fdb128a2f68386e2
Mushishi,"TV (26 eps)
        Oct 2005 - Jun 2006
        737,963 members",8.67,https://cdn.myanimelist.net/r/50x70/images/anime/2/73862.jpg?s=d976f75f480430a0c9fde4455696131d
Shigatsu wa Kimi no Uso,"TV (22 eps)
        Oct 2014 - Mar 2015
        1,929,241 members",8.67,https://cdn.myanimelist.net/r/50x70/images/anime/3/67177.jpg?s=bc267f764bffe825e1e8d60f7185a2e9
Violet Evergarden,"TV (13 eps)
        Jan 2018 - Apr 2018
        1,498,839 members",8.67,https://cdn.myanimelist.net/r/50x70/images/anime/1795/95088.jpg?s=9e24a139603a4e0ea8ea055a230b54d5
Kimetsu no Yaiba Movie: Mugen Ressha-hen,"Movie (1 eps)
        Oct 2020 - Oct 2020
        1,138,852 members",8.67,https://cdn.myanimelist.net/r/50x70/images/anime/1704/106947.jpg?s=685b7fa652f5b3df29bd20fc2c8cb32e
Hajime no Ippo: New Challenger,"TV (26 eps)
        Jan 2009 - Jul 2009
        241,586 members",8.66,https://cdn.myanimelist.net/r/50x70/images/anime/8/56617.jpg?s=4c8a3a8180c114c3771eb183e5318a0e
Howl no Ugoku Shiro,"Movie (1 eps)
        Nov 2004 - Nov 2004
        1,123,942 members",8.66,https://cdn.myanimelist.net/r/50x70/images/anime/5/75810.jpg?s=2b3056507119467116017b42d3e1da8b
Haikyuu!! Second Season,"TV (25 eps)
        Oct 2015 - Mar 2016
        1,235,108 members",8.65,https://cdn.myanimelist.net/r/50x70/images/anime/9/76662.jpg?s=06ccfffc7b27ac5532d268b9934a224a
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"TV (12 eps)
        Apr 2020 - Jun 2020
        1,071,183 members",8.65,https://cdn.myanimelist.net/r/50x70/images/anime/1764/106659.jpg?s=aab19d0f19e345e223dc26542ac3a28f
Natsume Yuujinchou Shi,"TV (13 eps)
        Jan 2012 - Mar 2012
        222,378 members",8.65,https://cdn.myanimelist.net/r/50x70/images/anime/3/37449.jpg?s=2bb045b3120e6a3a23257bb39689ae30
One Piece,"TV (? eps)
        Oct 1999 - 
        1,871,737 members",8.64,https://cdn.myanimelist.net/r/50x70/images/anime/6/73245.jpg?s=f792b8c9e28534ae455d06b15e686a14
Ousama Ranking,"TV (23 eps)
        Oct 2021 - Mar 2022
        406,675 members",8.64,https://cdn.myanimelist.net/r/50x70/images/anime/1347/117616.jpg?s=1fc7d9cfcad3dfca1cee2e11b5b74ef4
Tengen Toppa Gurren Lagann,"TV (27 eps)
        Apr 2007 - Sep 2007
        1,442,147 members",8.64,https://cdn.myanimelist.net/r/50x70/images/anime/4/5123.jpg?s=15bb64e0c8b13acfa5d0761308b66f59
Evangelion: 3.0+1.0 Thrice Upon a Time,"Movie (1 eps)
        Mar 2021 - Mar 2021
        290,155 members",8.64,https://cdn.myanimelist.net/r/50x70/images/anime/1422/113533.jpg?s=1e4f4aa0e597b1c1f082779ab9baa2fc
Natsume Yuujinchou Roku,"TV (11 eps)
        Apr 2017 - Jun 2017
        163,990 members",8.63,https://cdn.myanimelist.net/r/50x70/images/anime/6/84416.jpg?s=931f8a6bfc42adf9257eeb7641bad75e
Ping Pong the Animation,"TV (11 eps)
        Apr 2014 - Jun 2014
        340,930 members",8.62,https://cdn.myanimelist.net/r/50x70/images/anime/10/58041.jpg?s=fbfd98389b5a6f1a27979446e3f07abe
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"Movie (1 eps)
        Jun 2019 - Jun 2019
        582,027 members",8.62,https://cdn.myanimelist.net/r/50x70/images/anime/1613/102179.jpg?s=9b762a892eac987081bada93be8d3bdc
